"Time","Frequency (Hz)","Level (dBm)","Level_1 (dBm)","Level_2 (dBm)","Level_3 (dBm)","Value Count","File Info"
"2020-12-05  17:20:00,000","    75155000","-118,1","   8,6","-146,8","-103,8","20",
"2020-12-05  17:20:00,000","    75160000","-114,9","   4,2","-123,0","-106,4","20",
"2020-12-05  17:20:00,000","    75165000","-116,0","   6,9","-131,6","-104,0","20",
"2020-12-05  17:20:00,000","    75170000","-114,3","   6,2","-126,3","-102,6","20",
"2020-12-05  17:20:00,000","    75175000","-114,2","   6,6","-125,2","-103,5","20",
"2020-12-05  17:20:00,000","    75180000","-113,3","   4,8","-125,5","-105,6","20",
"2020-12-05  17:20:00,000","    75185000","-112,8","   3,9","-123,1","-107,8","20",
"2020-12-05  17:20:00,000","    75190000","-113,1","   4,4","-123,8","-106,7","20",
"2020-12-05  17:20:00,000","    75195000","-114,0","   3,8","-121,7","-107,2","20",
"2020-12-05  17:20:00,000","    75200000","-113,6","   4,0","-121,7","-107,5","20",
"2020-12-05  17:20:00,000","    75205000","-114,3","   6,8","-135,9","-106,1","20",
"2020-12-05  17:20:00,000","    75210000","-114,1","   6,6","-134,3","-105,8","20",
"2020-12-05  17:20:00,000","    75215000","-113,3","   5,6","-129,8","-104,9","20",
"2020-12-05  17:20:00,000","    75220000","-113,1","   5,5","-123,8","-104,8","20",
"2020-12-05  17:20:00,000","    75225000","-112,4","   5,8","-124,6","-102,8","20",
"2020-12-05  17:20:00,000","    75230000","-112,4","   4,1","-121,7","-106,2","20",
"2020-12-05  17:20:00,000","    75235000","-114,6","   7,8","-141,0","-106,1","20",
"2020-12-05  17:20:00,000","    75240000","-115,3","   6,3","-135,4","-106,7","20",
"2020-12-05  17:20:00,000","    75245000","-112,6","   3,8","-118,6","-106,2","20",
"2020-12-05  17:20:00,000","    75250000","-110,9","   2,8","-116,2","-104,9","20",
"2020-12-05  17:20:00,000","    75255000","-113,0","   3,2","-119,0","-106,8","20",
"2020-12-05  17:20:00,000","    75260000","-114,5","   4,1","-127,3","-109,8","20",
"2020-12-05  17:20:00,000","    75265000","-113,6","   4,6","-127,1","-107,6","20",
"2020-12-05  17:20:00,000","    75270000","-112,3","   5,5","-129,0","-104,9","20",
"2020-12-05  17:20:00,000","    75275000","-112,5","   5,2","-123,1","-102,5","20",
"2020-12-05  17:20:00,000","    75280000","-115,0","   6,7","-134,1","-103,9","20",
"2020-12-05  17:20:00,000","    75285000","-115,5","   6,1","-129,7","-105,8","20",
"2020-12-05  17:20:00,000","    75290000","-113,8","   5,0","-129,0","-107,5","20",
"2020-12-05  17:20:00,000","    75295000","-113,6","   3,9","-120,7","-104,7","20",
"2020-12-05  17:20:00,000","    75300000","-114,1","   4,8","-129,5","-107,5","20",
"2020-12-05  17:20:00,000","    75305000","-114,1","   6,4","-134,4","-105,9","20",
"2020-12-05  17:20:00,000","    75310000","-111,2","   3,3","-118,5","-107,0","20",
"2020-12-05  17:20:00,000","    75315000","-113,3","   6,0","-126,8","-106,6","20",
"2020-12-05  17:20:00,000","    75320000","-113,4","   5,0","-126,1","-106,8","20",
"2020-12-05  17:20:00,000","    75325000","-113,1","   5,3","-128,1","-106,6","20",
"2020-12-05  17:20:00,000","    75330000","-113,3","   4,9","-125,3","-105,9","20",
"2020-12-05  17:20:00,000","    75335000","-113,9","   4,9","-126,4","-107,0","20",
"2020-12-05  17:20:00,000","    75340000","-113,7","   6,0","-128,2","-106,0","20",
"2020-12-05  17:20:00,000","    75345000","-114,1","   5,1","-125,3","-106,4","20",
"2020-12-05  17:20:00,000","    75350000","-113,8","   4,8","-126,2","-107,6","20",
"2020-12-05  17:20:00,000","    75355000","-113,0","   4,1","-121,1","-106,7","20",
"2020-12-05  17:20:00,000","    75360000","-113,5","   6,5","-131,3","-106,6","20",
"2020-12-05  17:20:00,000","    75365000","-113,1","   5,3","-125,3","-105,0","20",
"2020-12-05  17:20:00,000","    75370000","-112,5","   6,2","-130,5","-104,3","20",
"2020-12-05  17:20:00,000","    75375000","-111,1","   4,1","-123,3","-104,6","20",
