"Time","Frequency (Hz)","Level (dBm)","Level_1 (dBm)","Level_2 (dBm)","Level_3 (dBm)","Value Count","File Info"
"17/12/2020  14:26:00,000","    61000000"," -92,8","   7,4","-115,1"," -83,3","34",
"17/12/2020  14:26:00,000","    62000000"," -92,9","   7,9","-121,5"," -83,4","34",
"17/12/2020  14:26:00,000","    63000000"," -91,2","   4,8","-103,1"," -84,1","34",
"17/12/2020  14:26:00,000","    64000000"," -92,7","   6,7","-114,0"," -81,3","34",
"17/12/2020  14:26:00,000","    65000000"," -91,4","   5,0","-102,8"," -79,2","34",
"17/12/2020  14:26:00,000","    66000000"," -90,3","   5,4","-108,3"," -80,8","34",
"17/12/2020  14:26:00,000","    67000000"," -90,1","   4,4"," -99,3"," -81,2","34",
"17/12/2020  14:26:00,000","    68000000"," -89,5","   5,0","-100,0"," -78,1","34",
"17/12/2020  14:26:00,000","    69000000"," -90,4","   7,1","-109,3"," -77,4","34",
"17/12/2020  14:26:00,000","    70000000"," -90,7","   6,8","-109,2"," -78,6","34",
"17/12/2020  14:26:00,000","    71000000"," -91,7","   6,7","-111,5"," -80,4","34",
"17/12/2020  14:26:00,000","    72000000"," -91,7","   6,1","-104,8"," -82,7","34",
"17/12/2020  14:26:00,000","    73000000"," -93,6","   5,1","-109,0"," -83,9","34",
"17/12/2020  14:26:00,000","    74000000"," -93,4","   4,7","-102,2"," -85,1","34",
"17/12/2020  14:26:00,000","    75000000"," -93,1","   5,4","-108,9"," -84,7","34",
"17/12/2020  14:26:00,000","    76000000"," -93,5","   6,5","-115,1"," -84,0","34",
"17/12/2020  14:26:00,000","    77000000"," -92,7","   6,1","-107,3"," -84,3","34",
"17/12/2020  14:26:00,000","    78000000"," -92,0","   5,4","-106,5"," -83,6","34",
"17/12/2020  14:26:00,000","    79000000"," -91,9","   5,3","-106,4"," -83,7","34",
"17/12/2020  14:26:00,000","    80000000"," -92,0","   5,0","-104,9"," -83,4","34",
"17/12/2020  14:26:00,000","    81000000"," -92,6","   5,4","-107,9"," -84,8","34",
"17/12/2020  14:26:00,000","    82000000"," -91,5","   5,0","-102,0"," -83,6","34",
"17/12/2020  14:26:00,000","    83000000"," -91,4","   4,9","-101,3"," -82,6","34",
"17/12/2020  14:26:00,000","    84000000"," -91,0","   4,1","-103,0"," -82,9","34",
"17/12/2020  14:26:00,000","    85000000"," -91,7","   4,6","-100,8"," -84,1","34",
"17/12/2020  14:26:00,000","    86000000"," -91,5","   5,3","-110,9"," -84,0","34",
"17/12/2020  14:26:00,000","    87000000"," -83,9","   4,3"," -94,9"," -78,2","34",
"17/12/2020  14:26:00,000","    88000000"," -77,1","   3,2"," -87,9"," -72,2","34",
"17/12/2020  14:27:00,000","    54000000"," -92,3","   5,8","-111,7"," -83,7","33",
"17/12/2020  14:27:00,000","    55000000"," -93,3","   5,9","-108,8"," -82,6","33",
"17/12/2020  14:27:00,000","    56000000"," -92,6","   4,6","-107,4"," -82,4","33",
"17/12/2020  14:27:00,000","    57000000"," -92,9","   5,1","-105,3"," -82,7","33",
"17/12/2020  14:27:00,000","    58000000"," -92,0","   5,9","-107,0"," -81,0","33",
"17/12/2020  14:27:00,000","    59000000"," -93,4","   6,4","-112,2"," -81,2","33",
"17/12/2020  14:27:00,000","    60000000"," -91,8","   4,8","-100,1"," -79,5","33",
"17/12/2020  14:27:00,000","    61000000"," -90,5","   4,9","-100,0"," -79,5","33",
"17/12/2020  14:27:00,000","    62000000"," -91,3","   6,2","-111,1"," -82,6","33",
"17/12/2020  14:27:00,000","    63000000"," -92,9","   5,9","-110,5"," -83,9","33",
"17/12/2020  14:27:00,000","    64000000"," -92,7","   6,7","-105,8"," -83,8","33",
"17/12/2020  14:27:00,000","    65000000"," -89,9","   4,2"," -98,0"," -82,4","33",
